,expire_time_gmt,valid_time_gmt,temp,wx_phrase,heat_index,rh,pressure,vis,wc,wdir,wspd,max_temp,min_temp,expire_date_time,valid_date_time
0,1072950960,1072943760,12.0,Cloudy,12.0,80.0,1013.64,16.0,12.0,160.0,22.0,12.0,7.0,01/01/2004 16:00:00,01/01/2004 14:00:00
1,1072954560,1072947360,11.0,Cloudy,11.0,83.0,1013.34,12.0,11.0,150.0,22.0,,,01/01/2004 17:00:00,01/01/2004 15:00:00
2,1072958160,1072950960,11.0,Cloudy,11.0,89.0,1012.84,8.0,11.0,120.0,20.0,,,01/01/2004 18:00:00,01/01/2004 16:00:00
3,1072958640,1072951440,11.0,Cloudy,11.0,88.0,1012.85,6.0,11.0,120.0,24.0,,,01/01/2004 18:00:00,01/01/2004 16:00:00
4,1072961760,1072954560,11.0,Cloudy / Windy,11.0,86.0,1012.94,8.0,11.0,170.0,33.0,,,01/01/2004 19:00:00,01/01/2004 17:00:00
5,1072963020,1072955820,11.0,Cloudy / Windy,11.0,82.0,1012.17,8.0,11.0,170.0,35.0,,,01/01/2004 19:00:00,01/01/2004 17:00:00
6,1072965360,1072958160,12.0,Cloudy,12.0,83.0,1012.14,8.0,12.0,160.0,26.0,12.0,11.0,01/01/2004 20:00:00,01/01/2004 18:00:00
7,1072968960,1072961760,12.0,Cloudy,12.0,86.0,1011.74,6.0,12.0,170.0,30.0,,,01/01/2004 21:00:00,01/01/2004 19:00:00
8,1072972560,1072965360,12.0,Cloudy / Windy,12.0,77.0,1011.64,8.0,12.0,170.0,33.0,,,01/01/2004 22:00:00,01/01/2004 20:00:00
9,1072976160,1072968960,12.0,Cloudy / Windy,12.0,83.0,1010.74,4.0,12.0,180.0,48.0,,,01/01/2004 23:00:00,01/01/2004 21:00:00
10,1072978500,1072971300,12.0,Cloudy / Windy,12.0,82.0,1010.48,4.0,12.0,180.0,50.0,,,02/01/2004 00:00:00,01/01/2004 22:00:00
11,1072979760,1072972560,12.0,Cloudy / Windy,12.0,86.0,1010.24,4.0,12.0,170.0,50.0,,,02/01/2004 00:00:00,01/01/2004 22:00:00
12,1072981980,1072974780,12.0,Cloudy / Windy,12.0,88.0,1009.8,2.0,12.0,170.0,70.0,,,02/01/2004 01:00:00,01/01/2004 23:00:00
13,1072983360,1072976160,12.0,Cloudy / Windy,12.0,90.0,1009.94,1.0,12.0,180.0,48.0,,,02/01/2004 01:00:00,01/01/2004 23:00:00
14,1072986960,1072979760,13.0,Cloudy / Windy,13.0,89.0,1011.24,1.0,13.0,180.0,61.0,13.0,12.0,02/01/2004 02:00:00,02/01/2004 00:00:00
15,1072990560,1072983360,13.0,Cloudy / Windy,13.0,89.0,1011.74,2.0,13.0,200.0,48.0,,,02/01/2004 03:00:00,02/01/2004 01:00:00
16,1072991160,1072983960,12.0,Cloudy / Windy,12.0,88.0,1013.19,4.0,12.0,250.0,39.0,,,02/01/2004 03:00:00,02/01/2004 01:00:00
17,1072994160,1072986960,12.0,Cloudy,12.0,89.0,1013.04,4.0,12.0,260.0,28.0,,,02/01/2004 04:00:00,02/01/2004 02:00:00
18,1072994820,1072987620,12.0,Mostly Cloudy,12.0,88.0,1013.19,9.0,12.0,250.0,28.0,,,02/01/2004 04:00:00,02/01/2004 02:00:00
19,1072997760,1072990560,12.0,Cloudy,12.0,83.0,1013.44,11.0,12.0,260.0,22.0,,,02/01/2004 05:00:00,02/01/2004 03:00:00
20,1073000280,1072993080,12.0,Cloudy,12.0,72.0,1013.86,16.0,12.0,260.0,11.0,,,02/01/2004 06:00:00,02/01/2004 04:00:00
21,1073001360,1072994160,12.0,Cloudy,12.0,74.0,1014.04,16.0,12.0,290.0,6.0,,,02/01/2004 06:00:00,02/01/2004 04:00:00
22,1073004960,1072997760,12.0,Cloudy,12.0,71.0,1014.74,16.0,12.0,,7.0,,,02/01/2004 07:00:00,02/01/2004 05:00:00
23,1073008560,1073001360,11.0,Cloudy,11.0,83.0,1015.64,14.0,11.0,290.0,20.0,13.0,11.0,02/01/2004 08:00:00,02/01/2004 06:00:00
24,1073012160,1073004960,11.0,Cloudy,11.0,80.0,1016.14,16.0,11.0,310.0,6.0,,,02/01/2004 09:00:00,02/01/2004 07:00:00
25,1073015760,1073008560,11.0,Cloudy,11.0,80.0,1016.84,16.0,11.0,170.0,6.0,,,02/01/2004 10:00:00,02/01/2004 08:00:00
26,1073019360,1073012160,10.0,Cloudy,10.0,83.0,1017.14,16.0,10.0,170.0,7.0,,,02/01/2004 11:00:00,02/01/2004 09:00:00
27,1073022960,1073015760,9.0,Mostly Cloudy,9.0,90.0,1017.94,16.0,9.0,180.0,6.0,,,02/01/2004 12:00:00,02/01/2004 10:00:00
28,1073026560,1073019360,9.0,Mostly Cloudy,9.0,86.0,1018.44,16.0,9.0,,,,,02/01/2004 13:00:00,02/01/2004 11:00:00
29,1073030160,1073022960,8.0,Partly Cloudy,8.0,86.0,1018.74,16.0,6.0,220.0,7.0,11.0,8.0,02/01/2004 14:00:00,02/01/2004 12:00:00
30,1073033760,1073026560,8.0,Fair,8.0,86.0,1018.94,16.0,8.0,,,,,02/01/2004 15:00:00,02/01/2004 13:00:00
31,1073037360,1073030160,7.0,Mostly Cloudy,7.0,90.0,1018.84,16.0,7.0,,,13.0,7.0,02/01/2004 16:00:00,02/01/2004 14:00:00
